Product,Price (USD),Shipping,Quantity,Vendor,Link
TFT Display 1.28 Inch,$3.60 ,Free,1,AliExpress,https://www.aliexpress.com/item/1005004275450235.html
Arduino Pro Mini,$2.86 ,Free,1,AliExpress,https://www.aliexpress.com/item/1005007419203228.html
USB to TTL,$2.22 ,Free,1,AliExpress,https://www.aliexpress.com/item/32637261853.html
Copper Foil Tape 10mm,$3.14 ,Free,1 x 10M,AliExpress,https://www.aliexpress.com/item/1005004521941526.html
MPU-6050 3-Axis Accelerometer,$2.47 ,Free,1,AliExpress,https://www.aliexpress.com/item/1005006396355790.html
Type-C TP4056 Charging Module,$0.86 ,Free,1,AliExpress,https://www.aliexpress.com/item/1005006982908219.html
Buck Converter 3.3v Output,$1.65 ,Free,1,AliExpress,https://www.aliexpress.com/item/1005006289357253.html
500mAh 3.7v LiPo Battery,$8.56 ,Free,1,eBay,https://www.ebay.com.au/itm/175225850886
Total,$25.36 ,,,,
Approx. Total + Taxes,$27.04 ,,,,
,,,,,
,,,,,
